Company,Tier,Tier_Level,Price_Original,Price_Numeric,Pricing_Model,Feature_Count,has_ai,has_sso,has_api,has_automation,has_analytics,has_integrations,Features
Airtable,Free,1,Free,0.0,Free,5,False,False,False,True,False,False,1000 records per base | 1GB attachments | 100 automation runs | Up to 5 editors | Unlimited bases
Airtable,Team,2,$20,20.0,Listed,5,False,False,False,True,False,True,50000 records per base | 25000 automations | 25GB attachments | Gantt view | Sync integrations
Airtable,Business,3,$45,45.0,Listed,6,False,True,False,True,False,True,125000 records per base | 100000 automations | 100GB attachments | Admin panel | SAML SSO | Two-way sync
Airtable,Enterprise,4,Contact sales,,Custom,6,False,False,True,True,False,False,500000 records per base | 500000 automations | 1TB attachments | Advanced security | Audit logs | Enterprise API
Asana,Personal,1,Free,0.0,Free,4,False,False,False,False,False,True,Unlimited tasks | Up to 10 teammates | List board calendar views | Basic integrations
Asana,Starter,1,$11,11.0,Listed,5,False,False,False,True,True,False,Timeline view | Workflow builder | 250 automations/month | Project dashboards | Custom fields
Asana,Advanced,3,$25,25.0,Listed,6,False,False,False,True,True,False,Portfolios | Goals | 25000 automations/month | Advanced reporting | Workload management | Time tracking
Asana,Enterprise,4,Contact sales,,Custom,5,False,True,False,False,False,False,Admin controls | SAML SSO | Data export | Custom onboarding | Priority support
Clickup,Free,1,Free,0.0,Free,0,False,False,False,False,False,False,
Clickup,Unlimited,2,$24,24.0,Listed,0,False,False,False,False,False,False,
Clickup,Business,3,Contact sales,,Custom,0,False,False,False,False,False,False,
Clickup,Enterprise,4,Contact sales,,Custom,0,False,False,False,False,False,False,
Coda,Free,1,Free,0.0,Free,0,False,False,False,False,False,False,
Coda,Pro,2,,,Custom,0,False,False,False,False,False,False,
Coda,Team,2,$30,30.0,Listed,0,False,False,False,False,False,False,
Coda,Enterprise,4,Contact sales,,Custom,0,False,False,False,False,False,False,
Figma,Starter,1,Free,0.0,Free,6,False,False,False,False,False,False,Up to 3 Figma files | 3 FigJam boards | Unlimited viewers | Basic prototyping | 30-day version history | Community plugins
Figma,Professional,2,$12,12.0,Listed,7,False,False,False,False,False,False,Unlimited Figma files | Unlimited version history | Advanced prototyping | Team libraries | Dev Mode | Shared projects | Audio conversations
Figma,Organization,3,$45,45.0,Listed,6,False,False,False,False,True,False,Organization-wide libraries | Design system analytics | Branching and merging | Private plugins | Centralized billing | Advanced admin controls
Figma,Enterprise,4,$75,75.0,Listed,7,False,True,False,False,False,False,SAML SSO | Advanced security | Org-wide design systems | Custom workspaces | Audit logs | 99.9% uptime SLA | Dedicated support
Miro,Free,1,Free,0.0,Free,6,True,False,False,True,False,True,"Included Single workspace with 3 editable boards and structured formats | Included Start faster and enhance productivity with 5,000+ Miro and community-made templates | Included Seamlessly integrate your workflows with 160+ apps, including Zoom, Slack, Google Drive, and Sketch | Included Use layers to show, hide, and group objects on the same board | featuresMatrix.featuresColumn.aiFeature Try Miro AI — 10 credits/month per team | Included Record and share 5 Talktracks to give interactive video walkthroughs of boards"
Miro,Starter,1,Free,0.0,Free,11,True,False,False,False,False,False,"Included Create and share unlimited boards and structured formats such as Docs, Tables, Diagrams, and Slides, in one workspace New | Included Share boards publicly with unlimited Visitors, no sign-in required | Included Export boards in high resolution to JPG or PDF | Included Restore previous content with version history | Included Upload brand fonts or colors with Brand Center and create custom templates | Included Organize boards into project folders with Spaces or kickstart work with pre-built Blueprints | featuresMatrix.featuresColumn.aiFeature Create, edit, and synthesize board content with Miro AI — 25 credits/month per member | Included Run interactive meetings with Timer, Voting, Video calls, Private mode, Estimation, and more | Included Restrict board access with Private boards | Included Record and share interactive video walkthroughs of boards with unlimited Talktracks | Paid add-on Miro Prototypes helps teams align early with editable AI prototypes in minutes New"
Miro,Business,3,$16,16.0,Listed,8,True,True,False,False,False,True,"Included Create and share unlimited boards and structured formats in multiple private workspaces, customized for each team or client | Included Invite unlimited Guests to securely collaborate with clients or partners, sign-in required | featuresMatrix.featuresColumn.aiFeature Create, edit, and synthesize board content with Miro AI — 50 credits/month per member | Included Visualize processes and systems with 3,600+ diagramming shapes and icons from UML, AWS, Azure, ERD, and more, or upload custom shapes | Included Map and prioritize tasks across teams with two-way Jira or Azure sync using Dependencies and Planner | Included Secure and simplify access with Single Sign On (SSO) through OKTA, OneLogin, Auth0, and more | Included Keep content up-to-date and connected across boards with Synced copies | Paid add-on Miro Prototypes helps teams align early with editable AI prototypes in minutes New"
Miro,Enterprise,4,Contact sales,,Custom,13,True,True,False,False,False,True,"Included Flexible license program scales Miro licenses with your usage, no extra fees or contract changes | Included Simplify admin tasks with SCIM, request management, billing groups, and more | Included Centralized account management and insights for adoption and usage | Included Organization-wide controls for Miro and third-party app integrations | Included Ensure enterprise-grade security with SSO, domain control, data classification and more | Included Choose data hosting in the EU or US with Miro's Data Center Residency Program | Included Engage with Miro's Customer Success Program | featuresMatrix.featuresColumn.aiFeature Fast-track innovation with Miro AI plus organization-wide or team-specific AI controls — 100 credits/month per member | Paid add-on Miro Prototypes helps teams align early with editable AI prototypes in minutes New | Paid add-on Miro Insights turns customer feedback into clear signals to build the right product New | Paid add-on Miro Portfolios keep teams’ work aligned with company goals New | Paid add-on Enterprise Guard for advanced data security and governance features | Paid add-on Access premium 24/7 support, and guaranteed SLAs"
Monday,Free,1,Free,0.0,Free,5,False,False,False,False,False,False,Up to 2 seats | 3 boards | Unlimited docs | 200+ templates | iOS Android apps
Monday,Basic,2,$9,9.0,Listed,5,False,False,False,False,False,False,Unlimited boards | Unlimited items | 5GB storage | Kanban Gantt calendar views | Prioritized support
Monday,Standard,2,$12,12.0,Listed,5,False,False,False,True,False,True,Timeline view | Calendar view | Guest access | Automations | Integrations
Monday,Pro,2,$19,19.0,Listed,5,False,False,False,False,False,False,Private boards | Chart view | Time tracking | Formula column | Dependency column
Monday,Enterprise,4,Contact sales,,Custom,5,False,False,False,False,True,False,Enterprise-grade security | Advanced reporting | Multi-level permissions | Tailored onboarding | Premium support
Notion,Free,1,Free,0.0,Free,7,True,False,False,False,False,True,"Trial of Notion AI | Free for individual usage | Basic forms | Basic sites | Notion Calendar | Notion Mail (Syncs with Gmail) | Databases including subtasks, dependencies, custom properties and more"
Notion,Plus,2,$10,10.0,Listed,6,True,False,False,False,False,True,Unlimited AI | Unlimited file uploads | Version history | Advanced permissions | 100+ integrations | Priority support
Notion,Business,3,$20,20.0,Listed,6,False,True,False,False,False,False,SAML SSO | Advanced security | Bulk export | Custom onboarding | Admin tools | Private teamspaces
Notion,Enterprise,4,Contact sales,,Custom,6,False,False,False,False,False,False,Advanced controls | Audit logs | User provisioning | Dedicated success manager | Custom contract | 99.9% uptime SLA
Trello,Free,1,Free,0.0,Free,6,False,False,False,False,False,False,Unlimited cards | Up to 10 boards | Unlimited Power-Ups | 10MB per file | Mobile apps | 2FA
Trello,Standard,2,$5,5.0,Listed,6,False,False,False,True,False,False,Unlimited boards | Advanced checklists | Custom Fields | 250MB per file | 1000 automations | Saved searches
Trello,Premium,3,$10,10.0,Listed,5,False,False,False,True,True,False,Calendar Timeline Table Dashboard Map views | Admin controls | Collections | Unlimited automations | Multi-board guests
Trello,Enterprise,4,$17.50,17.5,Listed,6,False,True,False,False,False,False,Organization-wide permissions | Public board management | Attachment permissions | Free SSO SAML | Power-Up administration | Org-visible boards

